#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p LH HERA II"
Reference                       "JHEP 09 (2012) 061 [arXiv:1206.7007]"  #
arXiv                           1206.7007
Title                           "Inclusive Deep Inelastic Scattering at High Q2 with Longitudinally Polarised Lepton Beams at HERA"
Inspire                         1120512


########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
#TheoryFunction                   QcdnumDISCS
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       -0.258444
e-polarity                       polEmLH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.64
PolErrCorrLpol                   0.59
PolErrCorrTpol                   0.53

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore',13*'ignore','LUMI_HERAII_beta_500', 'L10'

Data {{
  Q2         x       y   Sigma           stat     sys     tot     unc   uncE+ uncHaE+    corr   corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab lumi L10
   1500  0.032000  0.4615 0.684493        4.06    1.22    4.24    1.12   -0.40    0.06    0.48   -0.38   -0.25    0.01    0.13   -0.00   -0.06    0.27    0.57   -0.00    0.20    0.35    616.0    622.9    4.2    0.0    1.2   0.70  0.982   6.8462e-01   62.0   76.3   76.1 2.3 1.5
   1500  0.050000  0.2954 0.556877        4.02    1.36    4.25    1.25   -0.74    0.00    0.54   -0.34   -0.42    0.00    0.01    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    622.0    647.1    2.1    0.0    0.0   0.67  0.958   5.7099e-01   71.3   73.4   73.6 2.3 1.5
   2000  0.021880  0.9000 0.912871        6.58    3.07    7.26    2.49    0.20    0.18    1.79    0.18   -0.20    0.03    0.19    0.00   -1.76    1.00    0.57   -0.00    0.53    1.01    262.0    217.9   16.1    0.0   12.8   1.86  1.129   7.9437e-01   29.9   73.2   75.2 2.3 1.5
   2000  0.032000  0.6154 0.643712        4.89    1.57    5.13    1.50   -0.20    0.10    0.49   -0.16   -0.41    0.03    0.15   -0.00   -0.15    0.82    0.57   -0.00    0.21    0.68    431.0    475.2    6.2    0.0    2.4   0.80  0.894   7.0728e-01   60.7   77.5   77.0 2.3 1.5
   2000  0.050000  0.3938 0.557386        4.87    1.26    5.03    1.19   -0.43    0.02    0.42   -0.25   -0.33    0.01    0.04   -0.00   -0.02    0.27    0.57   -0.00    0.20    0.34    425.0    456.7    2.0    0.0    0.4   0.80  0.926   5.9128e-01   64.1   75.1   74.9 2.3 1.5
   2000  0.080000  0.2461 0.444143        5.02    1.63    5.28    1.43   -0.84   -0.00    0.79   -0.64   -0.46   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.48    399.0    440.8    1.1    0.0    0.0   0.81  0.903   4.8340e-01   70.7   70.9   70.9 2.3 1.5
   3000  0.032000  0.9230 0.780959        4.41    1.94    4.82    1.83   -0.25    0.11    0.67   -0.14   -0.30    0.02    0.11   -0.00   -0.57    1.00    0.57   -0.00    0.53    0.96    546.0    509.7   16.6    0.0    9.7   0.83  1.039   7.3862e-01   46.8   83.3   85.0 2.3 1.5
   3000  0.050000  0.5907 0.597586        4.01    1.45    4.27    1.40   -0.15    0.05    0.37   -0.11   -0.34    0.02    0.08   -0.00   -0.05    0.89    0.57   -0.00    0.23    0.51    632.0    676.5    5.4    0.0    1.2   0.68  0.926   6.3372e-01   67.2   83.2   82.7 2.3 1.5
   3000  0.080000  0.3692 0.498779        4.37    1.42    4.59    1.33   -0.55    0.00    0.51   -0.33   -0.39    0.00    0.01    0.00   -0.00    0.59    0.57   -0.00    0.20    0.45    528.0    553.0    1.7    0.0    0.0   0.72  0.952   5.1483e-01   62.3   79.5   77.4 2.3 1.5
   3000  0.130000  0.2272 0.421096        5.17    1.83    5.49    1.72   -0.85   -0.00    0.61   -0.50   -0.34   -0.00   -0.00   -0.00   -0.00    0.36    0.57   -0.00    0.20    0.96    375.0    368.3    0.8    0.0    0.0   0.89  1.016   4.0712e-01   60.0   68.4   65.1 2.3 1.5
   5000  0.054700  0.9000 0.667676        5.98    2.14    6.35    2.02    0.18    0.14    0.72    0.14   -0.38    0.03    0.13   -0.00   -0.58    1.00    0.57   -0.00    0.78    0.96    301.0    302.5   10.9    0.0    5.8   1.06  0.959   6.8392e-01   49.0   83.5   84.5 2.3 1.5
   5000  0.080000  0.6154 0.563982        4.65    1.61    4.92    1.57   -0.16    0.05    0.35   -0.19   -0.27    0.00    0.06    0.00   -0.08    1.00    0.57   -0.00    0.41    0.57    472.0    495.3    4.5    0.0    1.3   0.77  0.944   5.8688e-01   78.9   84.8   85.3 2.3 1.5
   5000  0.130000  0.3787 0.491399        5.23    1.85    5.55    1.80    0.33    0.01    0.46    0.23   -0.39    0.00    0.01    0.00   -0.00    0.99    0.57   -0.00    0.20    0.97    367.0    344.2    1.0    0.0    0.0   0.89  1.063   4.5401e-01   78.9   80.2   79.7 2.3 1.5
   5000  0.180000  0.2735 0.384           6.13    1.90    6.42    1.87   -0.26   -0.00    0.37   -0.11   -0.35   -0.00   -0.00   -0.00   -0.00    0.95    0.57   -0.00    0.20    1.03    267.0    261.2    0.6    0.0    0.0   1.03  1.020   3.6978e-01   71.2   73.1   70.9 2.3 1.5
   5000  0.250000  0.1969 0.227472        8.02    2.38    8.37    2.25    0.96    0.00    0.79    0.77   -0.19    0.00    0.00    0.00   -0.00    0.90    0.57   -0.00    0.20    1.22    156.0    196.0    0.3    0.0    0.0   1.19  0.794   2.8135e-01   63.6   67.7   62.4 2.3 1.5
   8000  0.087520  0.9000 0.654411        8.89    2.91    9.35    2.72    0.56    0.06    1.01    0.26   -0.33    0.02    0.09   -0.00   -0.92    1.00    0.57   -0.00    1.00    1.01    140.0    135.3    6.9    0.0    4.1   1.66  0.984   6.5345e-01   49.2   80.0   82.0 2.3 1.5
   8000  0.130000  0.6059 0.535743        7.10    2.40    7.49    2.35   -0.27    0.02    0.45   -0.20   -0.31    0.01    0.05    0.00   -0.26    1.00    0.57   -0.00    0.85    1.00    205.0    204.6    3.3    0.0    1.8   1.19  0.986   5.3373e-01   79.2   82.4   82.0 2.3 1.5
   8000  0.180000  0.4376 0.382045        8.01    2.30    8.33    2.27   -0.17    0.03    0.39   -0.09   -0.38   -0.01    0.02   -0.00   -0.00    1.00    0.57   -0.00    0.55    1.01    157.0    177.2    0.5    0.0    0.0   1.21  0.883   4.2481e-01   81.8   82.1   79.6 2.3 1.5
   8000  0.250000  0.3151 0.268294        9.07    2.71    9.47    2.64    1.14   -0.00    0.60    0.60    0.06   -0.00   -0.00   -0.00   -0.00    1.00    0.57   -0.00    0.33    1.19    122.0    144.9    0.3    0.0    0.0   1.35  0.840   3.1362e-01   80.5   79.4   75.7 2.3 1.5
   8000  0.400000  0.1969 0.118526       12.62    4.89   13.53    4.43    3.21    0.00    2.07    1.98    0.60    0.00    0.00    0.00   -0.00    1.00    0.57   -0.00    0.20    1.91     63.0     78.7    0.1    0.0    0.0   1.84  0.799   1.4572e-01   77.8   73.3   69.3 2.3 1.5
  12000  0.130000  0.9088 0.737286       15.45    4.81   16.19    4.58    0.69    0.15    1.48    0.28   -0.26    0.04    0.13    0.00   -1.42    1.00    0.57   -0.00    1.00    1.01     47.0     38.0    2.6    0.0    1.8   4.01  1.167   6.2062e-01   45.6   69.7   73.4 2.3 1.5
  12000  0.180000  0.6564 0.543144        9.59    2.29    9.86    2.25   -0.11    0.07    0.39   -0.06   -0.32    0.03    0.09    0.00   -0.19    1.00    0.57   -0.00    1.00    1.01    112.0    103.6    1.6    0.0    0.7   0.85  1.066   5.0051e-01   74.0   82.9   82.9 2.3 1.5
  12000  0.250000  0.4726 0.315346       11.15    2.54   11.43    2.49    0.98    0.02    0.52    0.49   -0.15    0.01    0.03    0.00   -0.00    1.00    0.57   -0.00    1.00    1.17     81.0     94.0    0.3    0.0    0.0   0.73  0.859   3.6053e-01   81.8   82.2   79.2 2.3 1.5
  12000  0.400000  0.2954 0.213525       12.42    5.22   13.47    4.94    4.03    0.00    1.68    1.58    0.58    0.00    0.00    0.00   -0.00    1.00    0.57   -0.00    0.95    1.97     65.0     49.4    0.1    0.0    0.0   1.02  1.315   1.5945e-01   78.5   83.4   77.0 2.3 1.5
  20000  0.250000  0.7876 0.604549       13.34    3.17   13.71    2.94    1.16    0.08    1.17    0.39   -0.17    0.03    0.05    0.00   -1.09    1.00    0.57   -0.00    1.00    1.16     60.0     43.5    1.9    0.0    1.6   1.63  1.334   4.4524e-01   71.1   82.5   82.7 2.3 1.5
  20000  0.400000  0.4923 0.217913       16.55    4.72   17.21    4.59    3.54    0.03    1.11    1.09    0.12    0.01    0.03    0.00   -0.16    1.00    0.57   -0.00    1.00    1.96     37.0     32.3    0.2    0.0    0.2   1.15  1.138   1.8815e-01   82.1   83.2   79.9 2.3 1.5
  20000  0.650000  0.3029 0.018831       40.89   17.23   44.37   16.39   16.00   -0.00    5.30    4.61    2.63   -0.00   -0.00   -0.00   -0.00    1.00    0.57   -0.00    1.00    2.00      6.0      5.7    0.0    0.0    0.0   2.33  1.048   1.7643e-02   92.0   67.3   72.9 2.3 1.5
  30000  0.400000  0.7384 0.170138       36.01    7.29   36.74    7.03    3.51    0.15    1.93    1.04   -0.15    0.03    0.11    0.00   -1.62    1.00    0.57   -0.00    1.00    1.96      9.0     11.0    0.7    0.0    0.6   5.47  0.760   2.1984e-01   69.7   89.0   87.6 2.3 1.5
  30000  0.650000  0.4544 0.0422948      37.83   12.53   39.86   11.89   11.21   -0.00    3.97    3.49    1.90   -0.00    0.01   -0.00   -0.00    1.00    0.57   -0.00    1.00    2.00      7.0      3.3    0.0    0.0    0.0   2.90  2.127   1.9536e-02   89.5   79.2   82.6 2.3 1.5
  50000  0.650000  0.7574 0.115319       57.78   10.46   58.72   10.19    7.43   -0.00    2.38    2.03    1.25   -0.00   -0.00   -0.00   -0.00    1.00    0.57   -0.00    1.00    1.99      3.0      0.6    0.0    0.0    0.0   6.43  4.961   2.2833e-02   70.5   85.0   90.5 2.3 1.5
    150  0.008000  0.1846 0.936244        1.20    2.24    2.54    1.85   -1.24   -1.02    1.26   -0.79   -0.80   -0.27   -0.50    0.00   -0.08    0.20    0.57   -0.00    0.20    0.30   6978.0   7015.1   24.0    0.0   17.9   0.55  0.991   9.2778e-01   37.9   41.2   50.2 2.3 1.5
    150  0.013000  0.1136 0.812792        1.68    3.66    4.03    3.09   -2.78   -0.82    1.96   -1.61   -0.64   -0.28   -0.85   -0.00   -0.09    0.20    0.57   -0.00    0.20    0.30   3651.0   3582.1   14.1    0.0   10.9   0.78  1.015   7.8639e-01   21.4   32.5   44.7 2.3 1.5
    200  0.013000  0.1515 0.780674        1.14    1.15    1.62    0.89    0.19   -0.03    0.72   -0.04   -0.46   -0.02    0.55    0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   8103.0   8553.0    8.4    0.0    1.4   0.47  0.946   8.1030e-01   76.7   49.5   51.4 2.3 1.5
    200  0.020000  0.0985 0.692209        1.23    1.34    1.81    1.14   -0.68   -0.19    0.70   -0.47   -0.39   -0.08    0.32   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.30   6935.0   7095.7    6.9    0.0    2.0   0.52  0.976   6.9642e-01   71.3   48.3   53.7 2.3 1.5
