#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061, arXiv:1206.7007"  #


########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.68
PolErrCurrLPol                   0.55   
PolErrCorrTPol                   0.58

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
    Q2         x       y   Sigma         stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
   5000  0.250000  0.1969 0.247374      16.81    2.72   17.03    2.56    1.47   -0.00    0.94    0.93   -0.10   -0.00   -0.00   -0.00   -0.00    0.92    0.57   -0.00    0.20    1.24     77.0     79.4    0.1    0.0    0.0   1.26  0.968   2.5090e-01   63.6   67.4   62.1  2.3 1.5
   8000  0.087520  0.9000 0.600956      13.94    3.09   14.27    2.79    0.22    0.16    1.32    0.13   -0.41    0.04    0.16    0.00   -1.23    1.00    0.57   -0.00    1.00    1.00     58.0     51.6    3.3    0.0    2.1   1.84  1.059   5.5769e-01   46.9   80.4   81.4  2.3 1.5
   8000  0.130000  0.6059 0.479539      11.13    2.43   11.39    2.40   -0.29    0.08    0.39   -0.19   -0.25    0.02    0.09   -0.00   -0.20    1.00    0.57   -0.00    0.85    1.00     83.0     79.5    1.2    0.0    0.5   1.27  1.029   4.5767e-01   78.0   82.7   81.4  2.3 1.5
   8000  0.180000  0.4376 0.385496      11.74    2.34   11.97    2.31    0.17    0.00    0.34    0.13   -0.31    0.00    0.02    0.00   -0.00    1.00    0.57   -0.00    0.56    1.01     73.0     70.3    0.2    0.0    0.0   1.29  1.035   3.6588e-01   82.7   82.1   80.5  2.3 1.5
   8000  0.250000  0.3151 0.247323      14.04    2.58   14.27    2.56    0.80   -0.00    0.34    0.31    0.12   -0.00   -0.00   -0.00   -0.00    1.00    0.57   -0.00    0.33    1.19     51.0     56.9    0.1    0.0    0.0   1.44  0.895   2.7156e-01   79.5   80.3   75.5  2.3 1.5
   8000  0.400000  0.1969 0.115085      18.93    5.81   19.80    5.29    4.26   -0.00    2.41    2.38    0.36   -0.00   -0.00   -0.00   -0.00    1.00    0.57   -0.00    0.20    1.92     28.0     31.5    0.0    0.0    0.0   1.96  0.888   1.2726e-01   80.3   75.1   72.0  2.3 1.5
  12000  0.130000  0.9088 0.699498      23.42    3.46   23.67    3.21    1.04    0.09    1.28    0.50   -0.41    0.03    0.08   -0.00   -1.10    1.00    0.57   -0.00    1.00    1.02     20.0     14.5    0.9    0.0    0.5   2.20  1.321   5.2028e-01   43.7   72.4   73.3  2.3 1.5
  12000  0.180000  0.6564 0.395177      16.73    2.37   16.90    2.34    0.50    0.09    0.39   -0.15   -0.29    0.03    0.10    0.00   -0.19    1.00    0.57   -0.00    1.00    1.01     37.0     39.5    0.7    0.0    0.3   0.94  0.921   4.2165e-01   74.2   82.3   82.1  2.3 1.5
  12000  0.250000  0.4726 0.306184      16.72    2.64   16.92    2.60    1.20    0.01    0.46    0.45    0.12    0.01    0.03   -0.00   -0.00    1.00    0.57   -0.00    1.00    1.17     36.0     36.4    0.1    0.0    0.0   0.78  0.985   3.0540e-01   82.6   81.9   79.3  2.3 1.5
  12000  0.400000  0.2954 0.152038      21.86    5.32   22.50    4.91    3.98    0.00    2.06    1.96    0.65    0.00    0.00    0.00   -0.00    1.00    0.57   -0.00    0.94    1.97     21.0     19.1    0.0    0.0    0.0   1.08  1.096   1.3627e-01   78.4   82.9   76.8  2.3 1.5
