#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
   8.8  0.0562  0.0025   0.4  12.1566      3     0.0113    6.3  4.45477   10.0   11.8  -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4     0.0   -5.0    -0.6    1.4   -1.0    0.1    0.4   -6.9    0.3    0.5    0.3   -1.4   -4.1    2.1
   8.8  0.0562  0.0025   0.6  12.1566      3     0.0039   12.8  9.05097   10.0   16.2  -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4     0.0   -6.1     1.2   -0.6   -1.7    0.2    0.0   -4.2    2.9    3.5    0.0   -0.8   -3.8    2.1
   8.8  0.0562  0.0085   0.2  12.1566      3     0.0362    4.3  3.04056    8.8    9.8   0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5     0.0    0.7     0.3    2.8   -0.2   -0.2   -2.0    5.5    4.8    0.1    0.7   -1.4   -2.4    1.7
   8.8  0.0562  0.0085   0.4  12.1566      3     0.0105    6.1  4.31335    8.8   10.7   0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5     0.0    0.5     0.5    1.7   -0.1   -0.1    0.8    3.9    7.1    0.0    0.5   -0.9   -2.0    1.7
   8.8  0.0562  0.0085   0.6  12.1566      3     0.0032   13.2  9.33381    8.8   15.8   0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5     0.0    0.4     1.4    1.8    0.3   -0.3   -0.3    2.5    7.1    2.6    0.5   -0.9   -2.3    1.7
   8.8  0.0562  0.0160   0.2  12.1566      3     0.0353    4.3  3.04056    8.5    9.5   0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3     0.0    0.0    -0.5    3.8   -0.1    0.0   -1.7    2.4    6.5    0.1    0.9   -1.1   -1.0    1.6
   8.8  0.0562  0.0160   0.4  12.1566      3     0.0115    5.8  4.10122    8.5   10.3   0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3     0.0    0.0    -1.1    3.0   -0.5    0.1    1.6    4.0    5.4    2.4    0.9   -1.4   -1.6    1.6
   8.8  0.0562  0.0160   0.6  12.1566      3     0.0038   12.3  8.69741    8.5   14.9   0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3     0.0    0.0     0.8    3.1   -0.6    0.0   -0.4    6.7    3.0    0.6    0.6   -1.1   -1.5    1.6
   8.8  0.0562  0.0250   0.2  12.1566      3     0.0290    5.6  3.9598     8.8   10.4   0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3     0.0    0.0    -0.5    5.5   -0.3    0.1   -1.7    2.0    5.8    0.2    0.7   -0.7   -0.9    1.6
   8.8  0.0562  0.0250   0.4  12.1566      3     0.0108    7.3  5.16188    8.8   11.4   0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3     0.0    0.0    -0.9    5.7   -0.3    0.1    1.1    1.0    5.9    1.2    0.6   -0.6   -1.0    1.6
   8.8  0.0562  0.0250   0.6  12.1566      3     0.0039   13.9  9.82878    8.8   16.4   0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3     0.0    0.0    -0.4    5.9   -0.1    0.0   -0.3    2.5    4.4    3.5    0.4   -0.6   -1.3    1.6
   8.8  0.0562  0.0350   0.2  12.1566      3     0.0341    7.7  5.44472    8.0   11.1   0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3     0.0    0.0    -0.6    5.3   -1.0    0.1   -3.0   -0.2    4.7    0.0    0.3   -0.5   -0.6    1.6
   8.8  0.0562  0.0350   0.4  12.1566      3     0.0129    9.5  6.71751    8.0   12.4   0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3     0.0    0.0     0.2    1.2    0.1    0.1    0.7    0.5    6.6    3.9    0.5   -0.3   -0.5    1.6
   8.8  0.0562  0.0350   0.6  12.1566      3     0.0044   19.0  13.435     8.0   20.7   0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3     0.0    0.0     0.6    4.9   -0.2   -0.1    0.9   -3.2   -0.2   -5.0   -0.2   -0.2   -0.7    1.6
   8.8  0.0562  0.0500   0.2  12.1566      3     0.0460    8.6  6.08112    9.0   12.4   0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3     0.0    0.0    -0.9    5.8    1.3    0.3   -2.0    0.3    6.0    1.2   -0.1   -0.1   -0.4    1.6
   8.8  0.0562  0.0500   0.4  12.1566      3     0.0170   10.9  7.70746    9.0   14.1   0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3     0.0    0.0    -0.1    5.9    2.7    0.4    2.6   -2.1    4.6    1.7    0.0   -0.3   -0.9    1.6
   8.8  0.0562  0.0500   0.6  12.1566      3     0.0051   18.4  13.0108    9.0   20.4   0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3     0.0    0.0     2.5    7.7    1.0    0.2   -0.9   -0.5    3.1   -1.0    0.3   -0.2   -0.5    1.6
   8.8  0.1780  0.0025   0.2  6.37481      2     0.0427    3.1  2.19203    9.7   10.2  -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8     0.0   -3.1    -0.2    3.5   -0.4   -0.9   -2.2   -3.2    6.3    0.4    1.0   -1.6   -2.6    2.4
   8.8  0.1780  0.0025   0.4  6.37481      2     0.0110    4.4  3.11127    9.7   10.6  -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8     0.0   -2.7    -0.1    3.1   -0.3   -0.8    1.3   -3.5    6.6    0.8    0.8   -1.5   -3.1    2.4
   8.8  0.1780  0.0025   0.6  6.37481      2     0.0042    8.4  5.9397     9.7   12.8  -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8     0.0   -2.5     0.5    3.4   -0.4   -0.9   -0.1   -2.8    5.3    4.3    0.9   -1.3   -3.4    2.4
   8.8  0.1780  0.0085   0.2  6.37481      2     0.0379    3.6  2.54558    8.9    9.6   2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6     0.0    3.1     0.0    1.9    1.4    0.1   -1.2    6.9    3.5   -0.1    0.3   -0.4   -0.3    1.7
   8.8  0.1780  0.0085   0.4  6.37481      2     0.0107    4.9  3.46482    8.9   10.2   2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6     0.0    3.1    -0.4    3.1    1.4    0.2    0.6    6.8    2.7    0.8    0.4   -0.4   -0.3    1.7
   8.8  0.1780  0.0085   0.6  6.37481      2     0.0039    9.9  7.00036    8.9   13.3   2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6     0.0    3.6    -0.3    1.6    1.5    0.1   -0.1    6.3    3.1    3.0    0.1   -0.4   -0.3    1.7
   8.8  0.1780  0.0160   0.2  6.37481      2     0.0284    6.1  4.31335    8.6   10.6   0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7     0.0    0.0     0.3    2.3    3.6    0.3   -1.8    4.0    5.6    0.0    0.1   -0.2   -0.8    1.7
   8.8  0.1780  0.0160   0.4  6.37481      2     0.0105    7.6  5.37401    8.6   11.5   0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7     0.0    0.0     0.8    3.8    3.2    0.1    0.7    3.0    5.6    2.1    0.1   -0.1   -0.9    1.7
   8.8  0.1780  0.0160   0.6  6.37481      2     0.0029   16.5  11.6673    8.6   18.6   0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7     0.0    0.0    -0.2   -2.6    4.7    0.3   -1.5   -3.5    3.1   -3.9   -0.5   -0.2   -1.5    1.7
   8.8  0.5620  0.0025   0.2  2.61885      1     0.0633    2.2  1.55563   11.0   11.2   6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9     0.0    6.9    -0.8    4.0    1.0   -1.5   -1.9    0.4    5.3    0.2    0.5   -0.9   -1.3    4.2
   8.8  0.5620  0.0025   0.4  2.61885      1     0.0182    2.9  2.05061   11.0   11.4   6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9     0.0    6.2    -0.7    3.8    0.9   -0.9    1.0   -0.2    6.5    0.9    0.4   -0.9   -1.5    4.2
   8.8  0.5620  0.0025   0.6  2.61885      1     0.0053    6.6  4.6669    11.0   12.8   6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9     0.0    6.6    -1.1    3.8    1.0   -0.9    0.2    0.1    3.2    5.3    0.4   -0.8   -1.7    4.2
  15.3  0.0056  0.0500   0.2  52.1233      7     0.0751   12.3  8.69741    7.2   14.2  -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9     0.0    0.0     0.7    1.4   -1.5    0.0   -2.1    0.7    6.0    0.8    0.9   -1.1   -0.7    1.8
  15.3  0.0056  0.0500   0.4  52.1233      7     0.0318   13.8  9.75807    7.2   15.6  -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9    -0.3    0.0     2.5    3.4   -3.9    0.2    0.3    1.7   -2.6    0.5    0.2   -2.1   -1.2    1.8
  15.3  0.0056  0.0500   0.6  52.1233      7     0.0082   20.0  14.1421    7.2   21.3  -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9    -0.2    0.0     0.5    0.2   -1.3    0.0    0.5    0.6    5.5    4.0    0.7   -0.4   -0.3    1.8
  15.3  0.0056  0.0750   0.2  52.1233      7     0.1073   19.1  13.5057    6.8   20.3   0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3     0.0    0.0     0.5    1.4   -1.4    0.2   -4.1    1.5    1.8    1.9    1.0   -1.2   -3.4    1.6
  15.3  0.0056  0.0750   0.4  52.1233      7     0.0317   15.6  11.0309    6.8   17.1   0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3     0.0    0.0     2.7   -1.6   -0.4    0.0   -0.3    0.7    4.4    2.5    0.4   -1.0   -2.5    1.6
  15.3  0.0056  0.0750   0.6  52.1233      7     0.0137   25.7  18.1726    6.8   26.6   0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3     0.0    0.0     1.1   -1.1   -0.6    0.0   -0.6   -1.7    5.6   -1.8    0.0   -0.5   -1.8    1.6
  15.3  0.0178  0.0160   0.2  29.056      5      0.0609    6.8  4.80833    8.1   10.6  -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8    -0.2    0.0    -0.8    3.5   -1.7   -0.1   -1.3    1.7    6.3    0.0    0.7   -1.2   -0.9    1.8
  15.3  0.0178  0.0160   0.4  29.056      5      0.0176    9.5  6.71751    8.1   12.5  -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8     0.0    0.0     0.3    1.4   -1.8   -0.2    3.7    4.3   -1.2    2.8    0.8   -3.1   -2.4    1.8
  15.3  0.0178  0.0160   0.6  29.056      5      0.0055   16.9  11.9501    8.1   18.7  -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8     0.0    0.0     2.1    2.4   -1.2   -0.6    0.4    3.1   -6.1   -0.3    0.7   -1.1   -1.3    1.8
  15.3  0.0178  0.0250   0.2  29.056      5      0.0549    6.6  4.6669     7.5   10.0  -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2     0.0    0.0    -1.0    3.2   -0.7    0.0   -1.8    0.3    5.8    0.4    1.9   -0.9   -0.7    1.6
  15.3  0.0178  0.0250   0.4  29.056      5      0.0164    9.0  6.36396    7.5   11.7  -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2     0.4    0.0     0.2   -0.1   -0.5    0.0    2.4    1.5    4.3    4.2    1.1   -2.2   -1.9    1.6
  15.3  0.0178  0.0250   0.6  29.056      5      0.0053   18.3  12.9401    7.5   19.8  -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2    -1.2    0.0     1.0    0.3   -0.1    0.0   -0.3    4.3    5.3   -1.9    0.2   -0.4   -0.5    1.6
  15.3  0.0178  0.0350   0.2  29.056      5      0.0488    9.2  6.50538    7.3   11.8   0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1     0.0    0.0     0.6    3.0   -0.3    0.0   -2.4    0.3    5.8    0.6    0.5   -1.3   -0.5    1.6
  15.3  0.0178  0.0350   0.4  29.056      5      0.0199   11.3  7.99031    7.3   13.4   0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1     0.0    0.0    -0.9    2.7    0.1    0.0    0.5    2.8    4.9    3.1    0.4   -1.0   -0.6    1.6
  15.3  0.0178  0.0350   0.6  29.056      5      0.0076   20.6  14.5664    7.3   21.9   0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1     0.7    0.0    -0.6   -3.3    0.1   -0.2    0.4   -5.1   -1.2   -3.2    0.3   -0.9   -0.6    1.6
  15.3  0.0178  0.0500   0.2  29.056      5      0.0534    9.5  6.71751    7.4   12.1   0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2     0.0    0.0    -0.2    2.2   -0.5    0.2   -3.1    1.8    5.7    0.1    0.5   -1.4   -0.4    1.6
  15.3  0.0178  0.0500   0.4  29.056      5      0.0206   10.3  7.2832     7.4   12.6   0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2     0.1    0.0    -0.9    2.6   -1.5    0.0    0.4   -0.7    5.6    3.0    0.2   -1.0   -0.4    1.6
  15.3  0.0178  0.0500   0.6  29.056      5      0.0089   16.3  11.5258    7.4   17.9   0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2     0.0    0.0     0.2   -1.1    1.2   -0.1    1.1   -4.1   -3.6    1.6    2.9   -2.5   -1.1    1.6
  15.3  0.0178  0.0750   0.2  29.056      5      0.0758   15.7  11.1016    6.6   17.0   0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2     0.0    0.0     0.4   -0.6   -0.3    0.2   -2.3    1.0    5.0    1.9    0.3   -1.0   -2.3    1.6
  15.3  0.0178  0.0750   0.4  29.056      5      0.0323   14.3  10.1116    6.6   15.7   0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2     0.0    0.0     0.0    0.2   -1.5    0.3    0.4    0.5    4.5    0.7    0.0   -1.5   -3.9    1.6
  15.3  0.0178  0.0750   0.6  29.056      5      0.0109   21.2  14.9907    6.6   22.2   0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2     0.0    0.0     3.5   -0.3   -0.1    0.4    0.7    3.2    3.0    0.2    0.1   -1.2   -2.8    1.6
  15.3  0.0562  0.0085   0.2  16.0294      4     0.0420    6.2  4.38406    9.6   11.4  -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4     0.0   -4.0     0.1    2.9   -0.7   -0.3   -2.0    2.8    6.1    0.6    0.8   -1.4   -3.5    1.7
  15.3  0.0562  0.0085   0.4  16.0294      4     0.0132    8.1  5.72756    9.6   12.5  -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4     0.0   -4.2    -0.5    2.0   -0.4   -0.1    1.4    1.3    6.2   -1.2    0.8   -1.3   -4.6    1.7
  15.3  0.0562  0.0085   0.6  16.0294      4     0.0049   15.0  10.6066    9.6   17.8  -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4     0.0   -1.2     0.4    2.9   -0.6   -0.2    0.4   -1.3    6.4    4.8    0.5   -0.8   -3.5    1.7
  15.3  0.0562  0.0160   0.2  16.0294      4     0.0406    5.8  4.10122    8.3   10.2   0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2     0.0    0.0     0.0    3.1   -0.6    0.0   -2.9    5.1    4.1    0.3    0.7   -1.6   -1.6    1.6
  15.3  0.0562  0.0160   0.4  16.0294      4     0.0137    7.5  5.3033     8.3   11.2   0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2     0.0    0.0     0.5    0.5   -0.1    0.2    1.4    1.9    7.6    0.4    0.2   -1.0   -1.3    1.6
  15.3  0.0562  0.0160   0.6  16.0294      4     0.0038   16.3  11.5258    8.3   18.3   0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2     0.0    0.0     0.5    5.7   -0.4   -0.5   -0.9   -1.2   -2.1   -1.7    0.7   -2.7   -4.0    1.6
  15.3  0.0562  0.0250   0.2  16.0294      4     0.0377    7.0  4.94975    7.5   10.3   0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2     0.0    0.0     0.3    1.8   -0.4    0.0   -2.0    0.8    6.5    0.3    0.5   -1.2   -0.8    1.6
  15.3  0.0562  0.0250   0.4  16.0294      4     0.0108    9.5  6.71751    7.5   12.1   0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2     0.0    0.0     0.9    1.3   -0.5    0.1    1.1    1.9    6.6    1.3    0.3   -0.9   -0.8    1.6
  15.3  0.0562  0.0250   0.6  16.0294      4     0.0035   17.4  12.3037    7.5   18.9   0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2     0.0    0.0    -3.3    0.1    0.1   -0.1   -1.0    6.3    0.3   -0.7    0.3   -0.9   -1.0    1.6
  15.3  0.0562  0.0350   0.2  16.0294      4     0.0392    9.6  6.78823    6.9   11.8   0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3     0.0    0.0    -1.1    2.1   -0.3    0.0   -2.7    0.4    5.4    0.9    0.3   -1.0   -0.7    1.6
  15.3  0.0562  0.0350   0.4  16.0294      4     0.0142   11.9  8.41457    6.9   13.7   0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3     0.0    0.0     2.3    1.4   -0.6    0.1    2.5    4.5    0.6    2.2    1.3   -1.7   -1.3    1.6
  15.3  0.0562  0.0350   0.6  16.0294      4     0.0047   21.5  15.2028    6.9   22.6   0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3     0.0    0.0    -2.8   -0.1   -0.8    0.2    1.9    0.0    4.9    2.6    0.9   -0.8   -0.8    1.6
  15.3  0.0562  0.0500   0.2  16.0294      4     0.0464    9.2  6.50538    6.8   11.5   0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3     0.0    0.0    -0.8    2.1   -0.2    0.2   -1.9    1.1    5.7    1.1    0.2   -0.7   -0.3    1.6
  15.3  0.0562  0.0500   0.4  16.0294      4     0.0128   12.5  8.83883    6.8   14.3   0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3     0.0    0.0     0.3   -1.2   -0.9    0.4    1.2   -3.4    4.3    2.2   -0.2   -2.2   -0.9    1.6
  15.3  0.0562  0.0500   0.6  16.0294      4     0.0076   18.6  13.1522    6.8   19.9   0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3     0.0    0.0     2.4   -0.1   -0.3   -0.2   -0.1   -1.2    5.6    2.1    0.3   -0.7   -0.3    1.6
  15.3  0.0562  0.0750   0.2  16.0294      4     0.0656   18.5  13.0815    7.6   20.0   0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3     0.0    0.0    -0.8    3.8    1.2    0.4   -4.3   -0.3    1.8   -0.4    0.0   -1.3   -4.0    1.6
  15.3  0.0562  0.0750   0.4  16.0294      4     0.0156   24.1  17.0413    7.6   25.2   0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3     0.0    0.0    -0.3    2.4    0.4    0.0    0.4    0.1    6.3    2.7   -0.1   -0.5   -1.5    1.6
  15.3  0.0562  0.0750   0.6  16.0294      4     0.0072   27.6  19.5161    7.6   28.7   0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3     0.0    0.0    -2.7    4.8    0.5    0.0   -0.7   -2.3    3.1    2.9    0.0   -0.4   -1.3    1.6
  15.3  0.1780  0.0025   0.2  8.40566      2     0.0461    4.7  3.3234     9.5   10.6  -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2     0.0   -3.1    -0.4    1.9   -0.4   -0.9   -2.1   -4.5    5.5   -0.2    0.5   -1.2   -3.8    2.0
  15.3  0.1780  0.0025   0.4  8.40566      2     0.0127    6.5  4.59619    9.5   11.5  -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2     0.0   -3.0    -0.1    2.0   -0.3   -0.7    0.9   -4.7    5.6    1.5    0.3   -1.0   -3.9    2.0
  15.3  0.1780  0.0025   0.6  8.40566      2     0.0030   14.4  10.1823    9.5   17.2  -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2     0.0   -1.9    -0.7    2.2    0.5   -0.5    0.0   -3.9    5.0    4.4    0.4   -0.8   -4.0    2.0
  15.3  0.1780  0.0085   0.2  8.40566      2     0.0381    4.9  3.46482    9.0   10.2   2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5     0.0    2.7    -0.2    1.4    0.7    0.0   -1.4    6.5    4.8    0.2    0.3   -0.8   -0.7    1.7
  15.3  0.1780  0.0085   0.4  8.40566      2     0.0124    6.3  4.45477    9.0   11.0   2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5     0.0    1.6     0.3    0.9    0.5    0.1    1.2    6.6    5.2    0.1    0.4   -0.8   -0.9    1.7
  15.3  0.1780  0.0085   0.6  8.40566      2     0.0041   13.2  9.33381    9.0   15.9   2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5     0.0    3.7    -1.0    2.2    0.5    0.1    0.2    6.3    2.8    2.9    0.0   -0.7   -0.9    1.7
  15.3  0.1780  0.0160   0.2  8.40566      2     0.0312    6.2  4.38406    8.3   10.4   0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3     0.0    0.0     0.4    1.8    3.1    0.1   -2.2    4.4    5.0    0.6    0.3   -1.1   -1.7    1.6
  15.3  0.1780  0.0160   0.4  8.40566      2     0.0101    8.4  5.9397     8.3   11.8   0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3     0.0    0.0     0.3    3.7    2.6    0.2    1.1    3.2    5.2   -1.9    0.2   -1.0   -1.9    1.6
  15.3  0.1780  0.0160   0.6  8.40566      2     0.0036   16.2  11.4551    8.3   18.2   0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3     0.0    0.0    -0.8    2.3    0.8    0.1    0.6    0.8    7.6    0.7    0.1   -0.4   -0.8    1.6
  15.3  0.1780  0.0250   0.2  8.40566      2     0.0320    8.6  6.08112    7.8   11.6   0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3     0.0    0.0    -0.3    2.5    2.9    0.2   -1.6    1.9    5.9    0.6    0.0   -0.8   -0.8    1.6
  15.3  0.1780  0.0250   0.4  8.40566      2     0.0094   11.7  8.27315    7.8   14.1   0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3     0.0    0.0    -0.8    4.7    4.7    0.1    2.0   -0.7   -1.4    1.4    0.0   -1.5   -1.5    1.6
  15.3  0.1780  0.0250   0.6  8.40566      2     0.0034   26.0  18.3848    7.8   27.2   0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3     0.0    0.0    -2.2    3.9    3.1    0.2    1.2   -0.1    2.6   -4.1    0.6   -0.9   -1.2    1.6
  15.3  0.5620  0.0025   0.2  3.45314      1     0.0682    3.0  2.12132   10.3   10.7   6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4     0.0    6.5    -1.3    3.2    0.8   -1.7   -1.9   -2.0    4.7   -0.1    0.4   -0.9   -1.6    3.8
  15.3  0.5620  0.0025   0.4  3.45314      1     0.0184    4.2  2.96985   10.3   11.1   6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4     0.0    5.2    -1.2    1.3    0.9   -1.0    1.0   -2.0    6.9    1.8    0.2   -0.8   -1.7    3.8
  15.3  0.5620  0.0025   0.6  3.45314      1     0.0051    9.7  6.85894   10.3   14.1   6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4     0.0    4.5    -1.2    1.0    1.1   -2.0    0.3   -2.9    5.2    4.8    0.2   -0.8   -2.3    3.8
  15.3  0.5620  0.0085   0.2  3.45314      1     0.0609    4.0  2.82843   10.2   10.9   4.9  1.1  0.9  1.3  0.5  0.0  7.7  2.6  0.7 -0.1 -0.5  0.0  2.2     0.0    3.8     1.1    1.0    1.4    0.5   -0.7    8.4    2.2    0.0   -0.1   -0.5    0.0    2.7
