#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
#   8.8  0.1780  0.0085  2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6  
#   8.8  0.1780  0.0160  0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7  
#   8.8  0.1780  0.0160  0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7  
#   8.8  0.1780  0.0160  0.0  0.6  2.8  3.1  0.2 -0.2  4.5  5.5  1.2  0.0 -0.1 -0.9  0.7  
#   8.8  0.5620  0.0025  6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9  
#   8.8  0.5620  0.0025  6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9  
#   8.8  0.5620  0.0025  6.6 -1.3  4.4  0.9 -1.2 -0.6  0.3  5.5  1.5  0.4 -0.8 -1.4  3.9  
#  15.3  0.0056  0.0500 -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9  
#  15.3  0.0056  0.0500 -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9  
#  15.3  0.0056  0.0500 -0.1  1.6  1.7 -1.6  0.1 -1.5  1.1  4.8  3.5  0.7 -1.0 -0.6  0.9  
#  15.3  0.0056  0.0750  0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3  
#  15.3  0.0056  0.0750  0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3  
#  15.3  0.0056  0.0750  0.0  1.9  0.0 -0.7  0.1 -3.7  0.7  3.0  3.3  0.5 -0.8 -2.2  0.3  
#  15.3  0.0178  0.0160 -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8  
#  15.3  0.0178  0.0160 -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8  
#  15.3  0.0178  0.0160 -0.2 -0.9  4.0 -1.5 -0.2  0.8  2.9  5.5  0.8  0.7 -1.3 -1.2  0.8  
#  15.3  0.0178  0.0250 -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2  
#  15.3  0.0178  0.0250 -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2  
#  15.3  0.0178  0.0250 -0.1 -1.2  3.1 -0.5  0.0 -0.1  1.1  5.9  1.6  1.5 -0.9 -0.8  0.2  
#  15.3  0.0178  0.0350  0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1  
#  15.3  0.0178  0.0350  0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1  
#  15.3  0.0178  0.0350  0.0  0.4  3.1 -0.2  0.0  1.1  0.7  5.5  2.6  0.5 -1.1 -0.6  0.1  
#  15.3  0.0178  0.0500  0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2  
#  15.3  0.0178  0.0500  0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2  
#  15.3  0.0178  0.0500  0.0 -0.7  2.5 -0.6  0.1 -1.4  0.9  5.5  3.2  0.5 -1.2 -0.4  0.2  
#  15.3  0.0178  0.0750  0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2  
#  15.3  0.0178  0.0750  0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2  
#  15.3  0.0178  0.0750  0.0  0.9 -0.3 -0.4  0.2 -2.3  1.2  4.0  3.4  0.1 -0.8 -2.1  0.2  
#  15.3  0.0562  0.0085 -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4  
#  15.3  0.0562  0.0085 -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4  
#  15.3  0.0562  0.0085 -3.8  0.0  3.0 -0.6 -0.2  0.2  2.9  6.2  1.4  0.7 -1.2 -3.8  0.4  
#  15.3  0.0562  0.0160  0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2  
