#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
0.18    1.8     0.00032   0.043003    0.0676751  5     
0.18    3.2     0.00032   0.0796796   0.064155   5     
0.18    5.6     0.00032   0.137822    0.0670545  5     
0.18    10      0.00032   0.182574    0.0761062  5     
0.18    18      0.00032   0.247904    0.0919722  5     
0.18    32      0.00032   0.342145    0.116632   5     
0.18    56      0.00032   0.391898    0.156008   5     
0.18    1.8     0.00057   0.0391119   0.0719681  5     
0.18    3.2     0.00057   0.0633148   0.0689891  5     
0.18    5.6     0.00057   0.112098    0.0723969  5     
0.18    10      0.00057   0.167087    0.0819153  5     
0.18    18      0.00057   0.218557    0.0977612  5     
0.18    32      0.00057   0.276185    0.120886   5     
0.18    56      0.00057   0.308546    0.155877   5     
0.18    100     0.00057   0.387298    0.214802   5     
0.18    1.8     0.001     0.0320154   0.0762927  5     
0.18    3.2     0.001     0.0545095   0.074217   5     
0.18    5.6     0.001     0.0920625   0.0784693  5     
0.18    10      0.001     0.131108    0.0889593  5     
0.18    18      0.001     0.165721    0.105725   5     
0.18    32      0.001     0.228384    0.129139   5     
0.18    56      0.001     0.220525    0.162558   5     
0.18    100     0.001     0.308388    0.215814   5     
0.18    180     0.001     0.332321    0.303799   5     
0.18    1.8     0.0018    0.028448    0.0807464  5     
0.18    3.2     0.0018    0.0537312   0.0800978  5     
0.18    5.6     0.0018    0.0756602   0.0856232  5     
0.18    10      0.0018    0.106271    0.0976149  5     
0.18    18      0.0018    0.133589    0.116113   5     
0.18    32      0.0018    0.170907    0.14119    5     
0.18    56      0.0018    0.198651    0.175502   5     
0.18    100     0.0018    0.258556    0.226971   5     
0.18    180     0.0018    0.26902     0.307122   5     
0.18    320     0.0018    0.303437    0.434282   5     
0.18    1.8     0.0032    0.0267404   0.0847461  5     
0.18    3.2     0.0032    0.0447675   0.0860771  5     
0.18    5.6     0.0032    0.0679635   0.0932949  5     
0.18    10      0.0032    0.0940753   0.107246   5     
0.18    18      0.0032    0.110993    0.128121   5     
0.18    32      0.0032    0.142923    0.155901   5     
0.18    56      0.0032    0.177325    0.192946   5     
0.18    100     0.0032    0.190717    0.246365   5     
0.18    180     0.0032    0.192834    0.324744   5     
0.18    320     0.0032    0.214828    0.442038   5     
0.18    560     0.0032    0.254165    0.624752   5     
0.18    1.8     0.0057    0.0244121   0.0880248  5     
0.18    3.2     0.0057    0.0386257   0.0920128  5     
0.18    5.6     0.0057    0.0522514   0.101449   5     
0.18    10      0.0057    0.0678728   0.117899   5     
0.18    18      0.0057    0.0923696   0.141835   5     
0.18    32      0.0057    0.106151    0.173295   5     
0.18    56      0.0057    0.129172    0.214587   5     
0.18    100     0.0057    0.14486     0.272733   5     
0.18    180     0.0057    0.158761    0.35478    5     
0.18    320     0.0057    0.162441    0.470581   5     
0.18    560     0.0057    0.177326    0.640836   5     
0.18    1000    0.0057    0.208426    0.924144   5     
0.18    3.2     0.01      0.0328346   0.0973027  5     
0.18    5.6     0.01      0.049427    0.109477   5     
0.18    10      0.01      0.0556294   0.128924   5     
0.18    18      0.01      0.0742914   0.156514   5     
0.18    32      0.01      0.0905449   0.192471   5     
0.18    56      0.01      0.0993323   0.239213   5     
0.18    100     0.01      0.12665     0.304163   5     
0.18    180     0.01      0.127459    0.393789   5     
0.18    320     0.01      0.121239    0.515689   5     
0.18    560     0.01      0.147683    0.685343   5     
0.18    1000    0.01      0.149745    0.952159   5     
0.18    1800    0.01      0.159789    1.39188    5     
0.18    5.6     0.018     0.040475    0.117318   5     
0.18    10      0.018     0.053726    0.140513   5     
0.18    18      0.018     0.0631124   0.172661   5     
0.18    32      0.018     0.0679166   0.214267   5     
0.18    56      0.018     0.0799058   0.268008   5     
0.18    100     0.018     0.0831341   0.342109   5     
0.18    180     0.018     0.0922841   0.443084   5     
0.18    320     0.018     0.0958792   0.577419   5     
0.18    560     0.018     0.112307    0.757638   5     
0.18    1000    0.018     0.124169    1.02542    5     
0.18    1800    0.018     0.124231    1.4416     5     
0.18    3200    0.018     0.133536    2.10267    5     
0.18    10      0.032     0.0436705   0.15091    5     
0.18    18      0.032     0.0510921   0.188087   5     
0.18    32      0.032     0.0582214   0.236032   5     
0.18    56      0.032     0.0601389   0.297721   5     
0.18    100     0.032     0.0694191   0.382469   5     
0.18    180     0.032     0.0692052   0.497289   5     
0.18    320     0.032     0.0848111   0.64835    5     
0.18    560     0.032     0.0811837   0.846999   5     
0.18    1000    0.032     0.0915235   1.13201    5     
0.18    1800    0.032     0.097292    1.55091    5     
0.18    3200    0.032     0.0961754   2.1796     5     
0.18    5600    0.032     0.100838    3.16142    5     
0.18    18      0.057     0.0445145   0.201561   5     
0.18    32      0.057     0.049045    0.256273   5     
0.18    56      0.057     0.0554982   0.326575   5     
0.18    100     0.057     0.0615901   0.423042   5     
0.18    180     0.057     0.0577631   0.553531   5     
0.18    320     0.057     0.0669358   0.724406   5     
0.18    560     0.057     0.0666524   0.946879   5     
0.18    1000    0.057     0.0713307   1.25997    5     
0.18    1800    0.057     0.0703072   1.70426    5     
0.18    3200    0.057     0.0735216   2.33536    5     
0.18    5600    0.057     0.071888    3.26801    5     
0.18    10000   0.057     0.0640676   4.82478    5     
0.18    32      0.1       0.0455818   0.272414   5     
0.18    56      0.1       0.0466306   0.351038   5     
0.18    100     0.1       0.0493216   0.459074   5     
0.18    180     0.1       0.0494268   0.605323   5     
0.18    320     0.1       0.0509274   0.796747   5     
0.18    560     0.1       0.0506768   1.04507    5     
0.18    1000    0.1       0.0500844   1.3914     5     
0.18    1800    0.1       0.0601483   1.87372    5     
0.18    3200    0.1       0.054425    2.53627    5     
0.18    5600    0.1       0.0517137   3.46626    5     
0.18    10000   0.1       0.0453543   4.93856    5     
0.18    18000   0.1       0.0564035   7.37247    5     
0.18    100     0.2       0.04044     0.377829   5     
0.18    180     0.2       0.041535    0.503746   5     
0.18    320     0.2       0.044737    0.669061   5     
0.18    560     0.2       0.0409042   0.883674   5     
0.18    1000    0.2       0.0419989   1.18207    5     
0.18    1800    0.2       0.0438537   1.59363    5     
0.18    3200    0.2       0.0409158   2.14733    5     
0.18    5600    0.2       0.0411434   2.89606    5     
0.18    10000   0.2       0.0429674   4.01214    5     
0.18    18000   0.2       0.0423129   5.74184    5     
0.18    32000   0.2       0.040397    8.48246    5     
0.18    56000   0.2       0.0494494   12.4458    5     
0.18    180     0.5       0.0283034   0.789321   5     
0.18    320     0.5       0.0247129   1.06691    5     
0.18    560     0.5       0.0289646   1.43093    5     
0.18    1000    0.5       0.0278846   1.94088    5     
0.18    1800    0.5       0.0222113   2.6465     5     
0.18    3200    0.5       0.022803    3.59194    5     
0.18    5600    0.5       0.0250965   4.85038    5     
0.18    10000   0.5       0.022293    6.66185    5     
0.18    18000   0.5       0.0219772   9.29531    5     
0.18    32000   0.5       0.0249622   13.1338    5     
0.18    56000   0.5       0.0262638   18.9505    5     
0.18    100000  0.5       0.0292742   28.7218    5     
0.18    320     0.8       0.0118256   1.8554     5     
0.18    560     0.8       0.0118241   2.54418    5     
0.18    1000    0.8       0.00997148  3.52506    5     
0.18    1800    0.8       0.00972557  4.90296    5     
0.18    3200    0.8       0.0101533   6.77255    5     
0.18    5600    0.8       0.00942561  9.28268    5     
0.18    10000   0.8       0.00690464  12.9065    5     
0.18    18000   0.8       0.00864907  18.1401    5     
0.18    32000   0.8       0.0105591   25.6109    5     


#$xi 0.32;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.32    1.8     5.7e-006  0.121309    0.0498516  5     
0.32    1.8     1e-005    0.116368    0.0479794  5     
0.32    3.2     1e-005    0.216085    0.0490024  5     
0.32    1.8     1.8e-005  0.0941085   0.0479678  5     
0.32    3.2     1.8e-005  0.206487    0.0474868  5     
0.32    5.6     1.8e-005  0.363154    0.0530837  5     
0.32    1.8     3.2e-005  0.0755037   0.0494113  5     
0.32    3.2     3.2e-005  0.169511    0.047928   5     
0.32    5.6     3.2e-005  0.305071    0.0519171  5     
0.32    10      3.2e-005  0.444189    0.0632228  5     
0.32    1.8     5.7e-005  0.0740023   0.0518092  5     
0.32    3.2     5.7e-005  0.14875     0.0498594  5     
0.32    5.6     5.7e-005  0.257202    0.0528671  5     
0.32    10      5.7e-005  0.345281    0.0622291  5     
0.32    18      5.7e-005  0.499891    0.0799086  5     
0.32    1.8     0.0001    0.0637627   0.0547749  5     
0.32    3.2     0.0001    0.125612    0.052738   5     
0.32    5.6     0.0001    0.189346    0.0554069  5     
0.32    10      0.0001    0.328197    0.0637377  5     
0.32    18      0.0001    0.411378    0.0790781  5     
0.32    32      0.0001    0.5118      0.103682   5     
0.32    1.8     0.00018   0.0496072   0.0583604  5     
0.32    3.2     0.00018   0.0976781   0.0565324  5     
0.32    5.6     0.00018   0.161275    0.0593021  5     
0.32    10      0.00018   0.241445    0.0674378  5     
0.32    18      0.00018   0.328201    0.0815674  5     
0.32    32      0.00018   0.4208      0.103228   5     
0.32    56      0.00018   0.570543    0.137374   5     
0.32    1.8     0.00032   0.049948    0.0622247  5     
0.32    3.2     0.00032   0.0914991   0.0608734  5     
0.32    5.6     0.00032   0.14597     0.0640853  5     
0.32    10      0.00032   0.210939    0.0726469  5     
0.32    18      0.00032   0.261303    0.0867905  5     
0.32    32      0.00032   0.319142    0.10717    5     
0.32    56      0.00032   0.401319    0.137814   5     
0.32    100     0.00032   0.49067     0.188899   5     
0.32    1.8     0.00057   0.0424753   0.0663407  5     
0.32    3.2     0.00057   0.0723849   0.0657563  5     
0.32    5.6     0.00057   0.116872    0.0697158  5     
0.32    10      0.00057   0.156493    0.0791735  5     
0.32    18      0.00057   0.227938    0.0941866  5     
0.32    32      0.00057   0.279929    0.114869   5     
0.32    56      0.00057   0.337939    0.144196   5     
0.32    100     0.00057   0.366212    0.190691   5     
0.32    180     0.00057   0.436613    0.266723   5     
0.32    1.8     0.001     0.0372869   0.0704497  5     
0.32    3.2     0.001     0.0653472   0.0709366  5     
0.32    5.6     0.001     0.0995575   0.0759251  5     
0.32    10      0.001     0.132413    0.086654   5     
0.32    18      0.001     0.186839    0.103159   5     
0.32    32      0.001     0.229245    0.125265   5     
0.32    56      0.001     0.259104    0.155373   5     
0.32    100     0.001     0.316882    0.200483   5     
0.32    180     0.001     0.397788    0.270611   5     
0.32    320     0.001     0.397384    0.380835   5     
0.32    1.8     0.0018    0.0304372   0.0746652  5     
0.32    3.2     0.0018    0.0541706   0.076687   5     
0.32    5.6     0.0018    0.0813585   0.0831123  5     
0.32    10      0.0018    0.107353    0.0955936  5     
0.32    18      0.0018    0.140634    0.114266   5     
0.32    32      0.0018    0.179283    0.138821   5     
0.32    56      0.0018    0.219379    0.17139    5     
0.32    100     0.0018    0.219108    0.218257   5     
0.32    180     0.0018    0.276561    0.28691    5     
0.32    320     0.0018    0.289616    0.389321   5     
0.32    560     0.0018    0.30211     0.547413   5     
0.32    1.8     0.0032    0.0274457   0.0784512  5     
0.32    3.2     0.0032    0.0506431   0.0824614  5     
0.32    5.6     0.0032    0.0676195   0.0907151  5     
0.32    10      0.0032    0.0912212   0.105369   5     
0.32    18      0.0032    0.110153    0.126764   5     
0.32    32      0.0032    0.131418    0.154586   5     
0.32    56      0.0032    0.149832    0.190913   5     
0.32    100     0.0032    0.167593    0.241956   5     
0.32    180     0.0032    0.205096    0.313882   5     
0.32    320     0.0032    0.226138    0.415232   5     
0.32    560     0.0032    0.241495    0.563801   5     
0.32    1000    0.0032    0.261001    0.808928   5     
0.32    3.2     0.0057    0.0428706   0.0881042  5     
0.32    5.6     0.0057    0.056267    0.0986793  5     
0.32    10      0.0057    0.0737184   0.116022   5     
0.32    18      0.0057    0.0892929   0.140783   5     
0.32    32      0.0057    0.105765    0.17275    5     
0.32    56      0.0057    0.128738    0.214088   5     
0.32    100     0.0057    0.150073    0.271377   5     
0.32    180     0.0057    0.147499    0.350278   5     
0.32    320     0.0057    0.18017     0.457349   5     
0.32    560     0.0057    0.198965    0.605915   5     
0.32    1000    0.0057    0.191666    0.838508   5     
0.32    1800    0.0057    0.205017    1.21847    5     
0.32    5.6     0.01      0.0517403   0.106368   5     
0.32    10      0.01      0.0611512   0.126856   5     
0.32    18      0.01      0.0776682   0.155532   5     
0.32    32      0.01      0.0851907   0.192389   5     
0.32    56      0.01      0.11211     0.23978    5     
0.32    100     0.01      0.106858    0.304971   5     
0.32    180     0.01      0.124512    0.393661   5     
0.32    320     0.01      0.131765    0.511483   5     
0.32    560     0.01      0.142062    0.66936    5     
0.32    1000    0.01      0.153459    0.903707   5     
0.32    1800    0.01      0.159538    1.26736    5     
0.32    3200    0.01      0.167389    1.84087    5     
0.32    10      0.018     0.0533017   0.137976   5     
0.32    18      0.018     0.0656353   0.171392   5     
0.32    32      0.018     0.0726633   0.214231   5     
0.32    56      0.018     0.0851841   0.269128   5     
0.32    100     0.018     0.0772407   0.344351   5     
0.32    180     0.018     0.089807    0.446055   5     
0.32    320     0.018     0.0996936   0.579602   5     
0.32    560     0.018     0.108988    0.754871   5     
0.32    1000    0.018     0.119583    1.00587    5     
0.32    1800    0.018     0.117505    1.37408    5     
0.32    3200    0.018     0.123656    1.92521    5     
0.32    5600    0.018     0.138436    2.78043    5     
0.32    18      0.032     0.0507121   0.186098   5     
0.32    32      0.032     0.0596405   0.235444   5     
0.32    56      0.032     0.0653739   0.298603   5     
0.32    100     0.032     0.0680948   0.385051   5     
0.32    180     0.032     0.0724126   0.501701   5     
0.32    320     0.032     0.0770282   0.65412    5     
0.32    560     0.032     0.0812186   0.852136   5     
0.32    1000    0.032     0.0885765   1.13024    5     
0.32    1800    0.032     0.0798003   1.52417    5     
0.32    3200    0.032     0.0928089   2.08279    5     
0.32    5600    0.032     0.085633    2.90653    5     
0.32    10000   0.032     0.0840133   4.27421    5     
0.32    32      0.057     0.0499316   0.2545     5     
0.32    56      0.057     0.0528811   0.326301   5     
0.32    100     0.057     0.0588687   0.424662   5     
0.32    180     0.057     0.0612696   0.557493   5     
0.32    320     0.057     0.0586839   0.730896   5     
0.32    560     0.057     0.0618269   0.955271   5     
0.32    1000    0.057     0.064795    1.2674     5     
0.32    1800    0.057     0.0642838   1.70102    5     
0.32    3200    0.057     0.0664797   2.29514    5     
0.32    5600    0.057     0.0642724   3.1267     5     
0.32    10000   0.057     0.0764276   4.43837    5     
0.32    18000   0.057     0.0678635   6.59591    5     
0.32    56      0.1       0.0478651   0.349218   5     
0.32    100     0.1       0.047322    0.458951   5     
0.32    180     0.1       0.0476914   0.607506   5     
0.32    320     0.1       0.0508425   0.801761   5     
0.32    560     0.1       0.0534084   1.05306    5     
0.32    1000    0.1       0.0493372   1.40145    5     
0.32    1800    0.1       0.0481834   1.88103    5     
0.32    3200    0.1       0.0537817   2.52609    5     
0.32    5600    0.1       0.0526744   3.40033    5     
0.32    10000   0.1       0.0568056   4.71125    5     
0.32    18000   0.1       0.0555407   6.7629     5     
0.32    32000   0.1       0.0467156   10.0205    5     
0.32    180     0.2       0.041101    0.505656   5     
0.32    320     0.2       0.0416194   0.67359    5     
0.32    560     0.2       0.0380168   0.891491   5     
0.32    1000    0.2       0.0416676   1.1938     5     
0.32    1800    0.2       0.0402378   1.60864    5     
0.32    3200    0.2       0.0412338   2.16116    5     
0.32    5600    0.2       0.0415159   2.89497    5     
0.32    10000   0.2       0.0374398   3.95509    5     
0.32    18000   0.2       0.0382955   5.51654    5     
0.32    32000   0.2       0.0421685   7.85019    5     
0.32    56000   0.2       0.037292    11.4771    5     
0.32    100000  0.2       0.0508491   17.0471    5     
0.32    320     0.5       0.0256203   1.11653    5     
0.32    560     0.5       0.0235192   1.50117    5     
0.32    1000    0.5       0.0226369   2.04002    5     
0.32    1800    0.5       0.025023    2.78481    5     
0.32    3200    0.5       0.0197139   3.77957    5     
0.32    5600    0.5       0.0232159   5.09509    5     
0.32    10000   0.5       0.0187214   6.96533    5     
0.32    18000   0.5       0.017605    9.62283    5     
0.32    32000   0.5       0.0177419   13.3506    5     
0.32    56000   0.5       0.0134271   18.6989    5     
0.32    100000  0.5       0.0195377   27.3558    5     
0.32    560     0.8       0.00862723  2.91791    5     
0.32    1000    0.8       0.00859322  4.04855    5     
0.32    1800    0.8       0.00823989  5.63663    5     
0.32    3200    0.8       0.00695739  7.78836    5     
0.32    5600    0.8       0.00787096  10.6675    5     
0.32    10000   0.8       0.00552002  14.7947    5     
0.32    18000   0.8       0.00525114  20.6744    5     
0.32    32000   0.8       0.00600025  28.8661    5
}}



Subsets { } #Q2 beta      xp       mxBin }

Cuts { }

TheoryFactors { } # 0.83333 }

ErrorSet                   "LHeC-DDIS" 
ErrorUnit                  percent

Errors {{
 ErrorName       Column          Correlation      Nature
  stat            estat              ESM0         P
#  sys             sysTot             EYM1         M # this is Woijtek's default
  norm            5.0             EYM1         M # DB: suggest to use norm. uncert.
  uncor           1.0             EYM0         M # DB: suggest to use uncorr. uncert.
}}

