#-*-sh-*-
# 
# H1 HERA-I diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "ddis"  # A unique alpos name 
Description                    	"H1 DDIS NC e-p 98-99"
Reference                       "Eur.Phys.J. C48 (2006) 715-748" 
arXiv                           hep-ex/0606004
Inspire                         718190
Title                           "Measurement and QCD Analysis of the Diffractive Deep-Inelastic Scattering Cross Section at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           301.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 4*'Bin','Sigma',14*'Error'
#   ColumnName = 'xp','Q2','beta','mx','reduced x-section','stat','sys','total','unc','lar','ele','theta','noise',xpom','beta','bg','Plug','Q2','spa' 
#   Percent =  14*true

Data {{
"xp"      "Q2"     "beta"           "mx"             "Sigma"          "stat"  "sys"    "tot"  "unc"    "lar" "ele"     thSpac  thLAr   "noise" "xpom"  "Ubeta"   "bg"    "Plug"  "Q2err" "spa" TrigSpa
0.01      45.0 	 	 0.08 	     22.7486       	 0.0329 	 13.5 	 5.3 	 14.5 	 3.6 	 1.6 	 0.8 	 1.3    0.0   	 -0.7 	 -0.1 	 -1.4 	 -1.3 	 -0.6 	 0.4 	 1.9     1.0 
0.01      45.0 	 	 0.13 	     17.3538       	 0.0377 	 7.7 	 6.0 	 9.7 	 3.6 	 -0.8 	 -2.5 	 0.9    0.0   	 -1.3 	 0.1 	 -1.0 	 -2.4 	 -0.4 	 0.3 	 -1.5    1.0 
0.01      45.0 	 	 0.2 	     13.4164       	 0.0264 	 8.2 	 4.7 	 9.5 	 3.6 	 0.9 	 -1.5 	 0.6    0.0   	 -0.5 	 -0.2 	 -1.0 	 -1.3 	 -0.9 	 0.2 	 -0.7    1.0 
0.01      45.0 	 	 0.32 	     9.7788        	 0.0237 	 10.6 	 6.1 	 12.2 	 3.6 	 1.5 	 -1.6 	 0.9    0.0   	 0.4 	 0.6 	 -1.0 	 -3.6 	 0.1 	 0.5 	 -0.4    1.0 
0.01      45.0 	 	 0.5 	     6.7082        	 0.0373 	 8.3 	 4.9 	 9.7 	 3.6 	 -0.7 	 -1.1 	 -0.3   0.0   	 0.9 	 0.6 	 -0.4 	 -1.5 	 -0.2 	 0.3 	 -0.8    1.0 
0.01      45.0 	 	 0.8 	     3.3541        	 0.0245 	 11.2 	 5.9 	 12.7 	 3.6 	 1.2 	 -1.4 	 1.1    0.0   	 2.3 	 1.8 	 1.0 	 -0.9 	 0.4 	 0.3 	 0.4     1.0 
0.01      60.0 	 	 0.13 	     20.0384       	 0.0379 	 13.3 	 6.5 	 14.8 	 3.6 	 1.5 	 -2.6 	 0.9    0.0   	 2.9 	 -0.1 	 -1.2 	 -1.5 	 0.9 	 0.5 	 0.8     1.0 
0.01      60.0 	 	 0.2 	     15.4919       	 0.0318 	 8.9 	 5.4 	 10.4 	 3.6 	 1.1 	 -1.3 	 1.2    0.0   	 -0.5 	 0.1 	 -1.2 	 -2.7 	 -0.2 	 0.3 	 0.7     1.0 
0.01      60.0 	 	 0.32 	     11.2916       	 0.0319 	 8.0 	 4.9 	 9.4 	 3.6 	 0.8 	 -2.1 	 0.5    0.0   	 0.6 	 0.1 	 -0.8 	 -1.6 	 0.5 	 0.2 	 0.1     1.0 
0.01      60.0 	 	 0.5 	     7.74597       	 0.0335 	 10.8 	 6.9 	 12.8 	 3.6 	 0.8 	 -1.5 	 0.9    0.0   	 0.5 	 1.6 	 -0.2 	 -5.0 	 0.2 	 0.7 	 0.8     1.0 
0.01      60.0 	 	 0.8 	     3.87298       	 0.0277 	 12.3 	 7.0 	 14.2 	 3.6 	 0.9 	 -3.5 	 0.5    0.0   	 1.5 	 1.7 	 1.0 	 -2.9 	 0.3 	 0.3 	 1.5     1.0 
0.01      90.0 	 	 0.2 	     18.9737       	 0.0259 	 35.3 	 8.9 	 36.4 	 3.6 	 0.6 	 -5.4 	 3.8    0.0   	 1.2 	 -0.6 	 -1.6 	 0.0 	 -1.2 	 0.8 	 -2.3    1.0 
0.01      90.0 	 	 0.32 	     13.8293       	 0.0292 	 14.4 	 5.5 	 15.5 	 3.6 	 1.1 	 2.3 	 1.7    0.0   	 1.5 	 -0.0 	 -0.7 	 -0.6 	 -0.5 	 0.6 	 0.8     1.0 
0.01      90.0 	 	 0.5 	     9.48683       	 0.0326 	 12.9 	 7.3 	 14.8 	 3.6 	 1.2 	 -2.7 	 1.7    0.0   	 1.8 	 0.6 	 -0.2 	 -2.0 	 0.8 	 0.6 	 1.6     1.0 
0.01      90.0 	 	 0.8 	     4.74342       	 0.0240 	 16.5 	 6.2 	 17.6 	 3.6 	 0.9 	 -0.3 	 0.3    0.0   	 1.7 	 2.1 	 0.8 	 -2.4 	 -0.9 	 0.9 	 1.5     1.0 
0.03      15.0 	 	 0.0067      47.1572       	 0.0462 	 15.6 	 14.6 	 21.4 	 11.2 	 -2.1 	 6.5 	 0.9    0.0   	 -3.6 	 0.6 	 -2.3 	 -3.6 	 1.3 	 -0.2 	 -1.7    1.0 
